;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;floor;code;class
60;112;75;42;10;12;5;0;0;1;5;2
61;99;67;37;7;10.5;10;0;1;1;3;2
62;170;89;51;12;12.7;6;1;0;0;5;3
63;198;80;45;10;7;7;0;0;1;4;3
65;193;78;55;8;7.5;10;1;0;1;3;3
66;100;57;42;6;11;10;1;1;1;5;2
68;100;78;44;8;13.5;20;0;0;1;1;1
70;133;80;48;10;10.5;10;1;0;0;7;2
71;145;85;58;8;12;4;1;1;1;8;2
72;105;79;52;10;14.5;10;0;0;0;3;1
73;97;53;34;6;9;5;1;0;1;4;3
75;125;77;45;10;12;10;1;0;1;5;2
76;110;81;45;10;13;12;1;0;1;5;1
77;153;87;66;9;7.5;10;1;1;1;8;2
79;85;59;45;6;12;5;1;0;1;5;1
80;95;64;45;6;12.5;10;1;0;0;2;2
82;76;55;36;6;12.5;15;0;1;0;3;1
83;139;80;48;10;10.5;15;1;0;1;7;2
84;350;80;44;14;10.5;10;1;1;0;7;3
85;105;66;40;8;12.5;5;1;0;1;2;2
87;99;66;44;8;12;5;1;0;0;5;2
88;90;60;45;6;13.5;5;1;0;1;6;2
89;130;80;46;10;10.5;15;1;0;1;7;2
90;165;65;45;9;9;10;1;1;1;3;3
92;158;78;48;9;9;4;1;1;1;4;3
93;380;130;72;15;7;5;0;0;1;4;3
94;210;80;42;20;8;5;1;0;1;1;3
96;140;76;44;10;12.5;5;1;0;1;2;3
98;82;51;35;6;12.5;5;1;0;1;2;2
99;208;115;70;14;10;3;1;1;1;6;3
100;99;65;40;8;17;12;1;0;0;2;2
101;110;77;46;11;13;2;1;0;1;5;1
102;470;120;75;18;9;10;1;1;1;3;3
104;169;70;44;8;8;5;1;1;1;1;3
105;94;64;45;7;12.5;12;1;0;1;2;1
106;136;78;46;10;12.5;5;0;0;0;2;2
109;150;87;55;10;12;3;1;0;1;8;2
110;84;58;43;5;12;15;1;1;0;7;1
111;74;60;43;6;13.5;5;0;0;0;6;1
112;138;77;45;10;13;5;0;0;1;5;3
113;125;62;42;10;12;10;1;0;1;1;3
115;138;70;45;8;10.5;10;1;1;1;3;3
116;129;86;55;10;10.5;10;0;0;0;3;2
117;120;56;42;6;12;5;1;1;1;7;3
118;95;64;39;8;12;15;1;0;1;7;2
119;82;56;39;5;10.5;5;0;1;1;3;1
120;74;51;35;6;13.5;10;1;0;0;6;1
121;110;83;47;10;17;10;1;0;1;4;1
122;87;60;43;6;12;7;0;0;1;7;1
123;190;81;46;12;12;5;0;0;1;8;3
124;90;58;43;6;17;10;1;0;1;4;2
125;152;79;53;8;9;3;1;0;1;4;3
126;120;74;40;12;12.7;7;1;1;1;5;2
130;140;56;40;5;9;5;1;1;0;3;3
131;105;57;44;6;9;5;1;1;0;4;3
133;115;78;54;8;11.5;10;1;1;1;6;2
134;115;74;45;10;13;15;1;0;1;5;2
135;106;58;44;6;7;10;0;0;0;4;3
136;92;64;39;8;12;7;0;0;1;1;1
138;120;82;44;11;12.7;12;1;0;1;5;1
139;52;86;46;9;12;10;0;0;1;7;1
140;169;95;58;14;9;7;0;1;1;4;2
141;225;80;53;9;7;5;1;1;1;4;3
142;94;59;43;5;14.5;5;0;0;1;3;2
143;99;76;45;10;12;10;1;0;1;5;1
144;86;51;35;6;17;10;1;0;0;4;2
146;113;75;45;10;12;7;1;0;1;5;2
147;110;76;46;10;13;7;1;0;1;5;1
148;145;78;50;10;12;3;1;0;1;5;3
150;199;127;62;20;13.5;10;0;1;1;1;2
151;372;158;80;20;10.5;10;1;0;1;3;3
153;78;51;34;6;13.5;10;1;1;1;6;2
154;135;84;45;11;12;10;0;0;1;7;2
155;100;80;45;12;12.7;15;1;0;1;5;1
156;153;76;46;10;9;5;0;0;1;4;3
157;95;65;47;9;13.5;7;1;0;1;6;1
158;103;60;43;6;12.5;5;1;0;1;2;2
159;114;80;45;13;12;7;1;0;0;5;1
160;113;85;46;10;12;15;0;0;1;7;1
161;108;80;52;10;12;10;0;0;1;7;1
162;107;74;44;11;13;5;0;0;0;5;1
163;100;77;52;9;10.5;15;0;1;1;3;1
164;106;76;43;12;13;5;0;0;0;5;1
165;84;60;44;6;13.5;7;0;0;1;1;1
166;139;73;51;9;7.5;10;0;1;0;8;3
167;106;76;46;10;13;5;0;0;1;5;1
168;124;78;55;8;13.5;10;1;1;1;1;2
170;110;65;43;7;12;10;0;0;1;7;2
171;80;60;44;6;13.5;10;0;0;1;6;1
172;115;58;41;5;7.5;7;1;1;0;3;3
173;110;83;47;10;17;10;1;0;1;4;1
174;138;68;46;8;9;10;1;0;1;4;3
175;50;63;47;7;12;20;0;1;0;7;1
176;132;77;43;8;12.5;5;1;0;1;2;2
177;80;58;43;6;10;10;1;1;1;6;1
178;88;59;44;6;13.5;10;1;0;1;6;2
179;194;106;60;17;9;5;0;1;1;4;3
181;86;50;34;6;12;10;0;0;0;8;2
185;85;60;43;6;14.5;6;0;0;1;2;1
186;135;76;44;10;12.7;2;1;0;0;5;2
187;200;122;68;12;10;5;1;0;1;6;2
188;90;51;35;6;7;3;1;0;1;4;2
189;133;65;47;8;12.5;2;1;0;1;3;3
190;103;69;44;9;14.5;10;0;0;1;3;2
191;89;61;44;6;12.5;10;1;0;1;2;1
192;81;56;39;6;11.5;10;1;0;1;6;1
193;106;58;42;6;12;5;1;1;1;8;3
194;166;77;45;11;10.5;15;1;1;1;3;3
195;78;55;37;6;11.5;2;1;1;1;6;1
196;110;77;45;10;12;10;0;0;1;7;1
197;120;74;44;10;12.7;10;1;0;1;5;2
198;100;80;51;10;13.5;10;0;0;1;6;1
199;127;76;42;10;13.5;10;0;0;1;6;2
200;150;75;46;11;9;15;1;0;1;4;3
201;99;79;62;6;17;2;1;1;0;4;1
203;120;63;43;9;12;1;1;0;0;8;3
204;85;64;45;7;15.5;10;1;0;0;1;1
205;167;78;54;8;9;10;1;1;1;3;3
207;130;56;41;6;9;5;1;1;0;3;3
208;125;80;45;13;13;10;0;0;0;5;2
209;86;59;43;6;17;5;1;0;1;4;1
211;118;68;49;11;7.5;7;1;0;0;8;2
212;107;75;44;8;12;10;1;0;0;5;1
213;100;65;46;6;15.5;7;1;0;1;1;2
214;195;83;55;9;9;3;1;1;1;3;3
215;120;66;40;19;7.5;10;1;1;1;8;3
216;95;60;43;6;14.5;10;1;0;1;3;2
218;80;55;41;5;11.5;3;1;1;1;6;1
219;97;75;45;10;13;5;0;0;1;5;1
220;92;63;39;8;15.5;5;1;0;1;1;1
221;130;75;44;8;12.7;3;1;0;1;5;2
223;93;60;38;8;12;5;1;0;1;5;2
224;95;82;48;8;13;10;1;0;1;5;1
225;115;77;46;10;12.7;7;1;0;1;5;2
226;140;76;44;10;12;2;1;0;1;5;3
227;92;82;48;8;13;12;0;0;1;5;1
228;89;60;44;6;14.5;7;1;1;1;3;2
230;95;64;40;8;15.5;15;1;0;1;1;2
231;156;83;55;9;10.5;10;1;1;1;7;3
232;135;77;46;10;12.7;2;1;0;1;5;2
233;125;78;60;11;14.5;10;0;0;1;3;2
234;122;74;50;8;10.5;10;1;1;0;3;2
236;95;64;45;6;14.5;10;1;0;1;2;2
237;105;65;39;11;12;5;0;0;1;7;2
241;105;75;45;10;12;7;1;0;1;5;1
242;125;82;52;12;13.5;10;0;0;0;6;2
243;73;61;41;6;13;10;0;0;0;5;1
244;93;78;46;10;12;15;0;0;1;7;1
245;95;64;45;7;12.5;10;1;0;1;2;2
246;225;101;65;15;10.5;20;1;1;1;3;3
247;108;65;40;8;17;5;1;0;1;2;2
250;145;85;54;11;8;10;0;1;1;1;2
251;93;67;47;6;12;5;0;0;1;7;1
252;160;80;56;9;12;5;1;1;1;8;3
253;93;62;37;8;12.5;10;1;0;1;2;2
254;90;57;43;6;12;5;1;1;1;1;2
255;79;55;40;6;10.5;10;0;1;1;3;1
256;95;73;43;11;12.7;10;1;0;0;5;1
258;125;66;44;9;12.5;15;1;0;1;3;3
259;299;99;65;11;9;10;1;1;1;3;3
260;127;77;46;10;12.5;10;1;0;1;2;2
261;112;75;45;10;12;7;1;0;1;5;2
262;84;58;43;5;12;15;1;1;0;7;1
263;195;110;55;11;12;1;1;1;1;7;2
264;170;81;60;13;13;5;1;0;1;5;3
265;95;67;45;9;13.5;10;0;0;0;1;1
266;450;145;82;14;4.5;3;1;1;1;8;3
270;125;78;50;9;13.5;15;1;1;0;1;2
271;120;77;44;10;13.5;5;0;1;1;6;2
273;105;66;48;8;12;1;1;0;0;5;2
274;120;66;43;10;9;10;0;0;1;4;3
276;103;77;46;11;13;5;0;0;1;5;1
277;115;57;42;6;10.5;4;0;1;1;3;3
278;140;87;57;7;10.5;3;1;1;1;3;2
279;185;80;53;9;7.5;15;1;1;1;8;3
281;82;57;46;6;12;10;1;1;1;7;1
283;110;70;42;10;14.5;7;0;0;1;3;2
284;90;61;49;6;12;10;1;0;1;8;2
286;146;80;46;10;7.5;10;1;1;1;3;3
287;105;68;46;8;12;15;1;0;1;7;2
288;193;100;56;12;12;10;0;1;1;7;3
291;115;63;40;8;12.5;10;0;0;1;3;3
293;123;83;50;11;12.7;15;1;0;1;5;2
294;120;82;53;9;11.5;10;0;1;1;6;1
295;90;66;43;6;15.5;5;1;0;0;1;1
296;86;56;39;6;12.5;10;0;0;1;3;2
297;103;64;40;8;17;5;1;0;1;2;2
298;85;59;43;6;13.5;15;0;0;1;1;1
299;123;85;51;10;12.7;3;1;0;1;5;1
300;110;69;44;10;12;5;1;0;1;7;2
301;88;60;44;10;12;10;0;0;0;7;1
302;116;75;46;10;13.5;10;0;0;1;6;2
304;130;80;45;13;12;5;0;0;1;5;2
305;85;55;40;6;11;5;0;1;1;8;2
306;93;79;45;10;13;7;0;0;0;5;1
307;127;79;45;13;12;3;1;0;1;1;2
309;105;77;46;8;12;15;0;0;0;7;1
311;73;54;37;6;14.5;10;1;0;1;3;1
314;91;60;44;6;12;10;1;1;1;7;2
315;122;68;44;8;10.5;5;0;0;1;3;3
316;147;74;49;9;7.5;10;1;1;1;3;3
317;84;76;45;10;17;10;1;0;1;4;1
319;85;58;39;6;10;7;0;0;1;6;1
320;135;68;46;8;12.5;7;0;0;1;3;3
321;116;75;44;13;12;10;1;0;1;1;2
323;88;56;36;6;17;10;0;0;1;2;2
325;135;74;44;10;10.5;7;1;0;0;3;3
326;135;74;51;9;10.5;7;1;1;1;7;3
327;100;68;53;6;12;10;1;0;1;7;2
328;115;66;37;7;11;7;1;0;1;8;2
331;98;56;33;6;8;10;1;0;0;1;2
333;169;80;50;8;10;5;1;1;1;6;3
335;125;64;44;9;12;12;1;0;1;8;3
336;95;55;35;8;7.5;7;1;1;1;3;2
337;114;75;44;10;13;2;1;0;1;5;2
339;125;75;53;8;11;3;1;1;1;8;2
340;100;65;39;9;17;10;1;0;1;2;2
341;93;64;41;7;14.5;3;1;0;1;2;1
343;72;52;35;6;13.5;10;0;0;1;1;1
344;125;78;52;7;11;7;1;1;1;8;2
345;250;74;47;10;3;5;1;1;0;1;3
346;165;87;51;12;12.7;6;1;0;0;5;3
348;130;81;49;9;13;10;0;1;1;5;2
349;148;74;51;9;7.5;10;1;1;1;3;3
351;149;77;45;9;12;5;1;0;1;1;3
352;97;55;35;6;9;10;1;0;1;4;2
353;80;50;34;6;12;5;0;0;0;8;2
354;100;58;42;5;12;10;0;1;1;8;2
355;105;75;45;10;12;5;0;0;1;5;1
356;80;52;36;6;10.5;15;1;1;0;7;2
357;120;100;63;9;13;7;0;0;1;5;1
358;78;59;42;6;12.5;10;0;0;0;2;1
359;209;90;57;8;10.5;2;1;1;1;3;3
360;190;81;51;14;9;3;1;1;1;3;3
361;88;51;35;6;10.5;3;1;0;1;7;2
362;135;85;53;9;10.5;7;0;1;0;3;2
363;185;90;54;13;7.5;7;1;1;1;3;3
364;299;100;65;11;9;10;1;0;1;3;3
365;111;81;45;9;14.5;10;0;0;0;3;1
366;102;65;44;7;13.5;10;1;0;1;6;2
367;94;65;45;7;14.5;10;1;0;0;2;1
368;165;79;53;9;8;15;1;1;1;1;3
369;164;90;52;13;10;3;1;1;1;6;3
373;155;80;46;13;12;15;1;0;0;8;3
374;153;75;45;10;7;15;1;0;0;4;3
375;132;88;55;14;17;5;1;0;1;4;2
376;110;74;45;10;12.7;7;1;0;1;5;2
377;103;63;38;8;10.5;10;0;0;1;3;2
378;79;49;33;6;14.5;10;1;0;0;3;2
379;200;121;71;12;10;3;1;0;1;6;2
381;108;66;43;7;17;5;1;0;1;4;2
384;250;74;56;8;4.5;7;1;1;1;8;3
385;140;78;46;11;12;5;1;0;1;8;3
387;122;96;51;12;13.5;10;0;0;0;6;1
388;100;63;42;7;13.5;15;1;1;1;1;2
390;92;69;47;6;12;10;0;0;0;7;1
392;150;112;64;16;14.5;5;0;0;1;3;1
393;88;61;42;6;12.5;5;1;0;1;2;1
394;100;78;45;10;13;7;1;0;1;5;1
395;92;64;38;8;10.5;15;1;0;0;7;1
396;112;76;54;8;10.5;15;1;1;0;7;2
397;90;65;45;7;12;7;1;0;1;5;1
399;100;75;45;10;13;5;0;0;1;5;1
400;83;58;38;6;12.5;10;1;0;0;2;1
401;115;72;50;8;10.5;10;0;1;1;3;2
402;92;68;53;6;13;10;0;0;1;5;1
403;110;65;41;11;12.5;15;1;1;1;8;2
404;103;64;45;6;17;5;1;0;1;2;2
406;165;89;57;9;7;5;0;0;1;4;3
407;371;128;70;18;7;5;0;0;1;4;3
408;85;60;38;6;17;7;1;0;0;2;1
409;95;65;39;8;12;15;1;0;1;7;1
410;141;113;58;13;13.5;10;0;0;1;1;1
411;113;77;50;8;12.5;15;0;1;0;3;1
412;125;73;52;8;11;10;1;1;1;8;2
413;108;64;40;9;12;10;0;1;1;1;2
414;84;59;45;5;10;15;1;0;1;6;1
415;170;71;47;8;7.5;10;1;1;1;3;3
417;131;76;45;10;12;7;1;0;1;1;2
418;110;77;46;9;13;5;1;0;0;5;1
419;135;79;48;9;10.5;5;1;1;0;7;2
420;132;69;44;8;8;10;1;0;1;1;3
421;135;100;50;10;15.5;10;1;0;1;1;1
422;95;63;39;8;14.5;15;1;0;1;2;2
423;140;77;45;10;10;5;1;0;1;6;3
424;120;77;45;10;13;10;1;0;1;5;2
425;115;68;44;9;12;7;1;0;1;7;2
426;165;96;58;14;7;5;0;0;1;4;2
427;99;66;39;8;17;10;1;0;0;2;2
428;192;123;68;16;14.5;10;0;0;0;3;2
430;105;63;44;7;17;3;1;0;1;4;2
431;133;83;46;12;13.5;10;1;1;1;1;2
432;96;64;41;9;13.5;12;1;0;1;1;2
433;168;84;54;8;7.5;10;1;1;1;8;3
436;85;65;43;10;12;5;0;0;1;5;1
437;85;57;37;5;12;7;0;0;1;8;2
438;138;86;50;10;13.5;10;1;1;1;1;2
439;87;57;45;6;12;15;1;0;1;8;2
440;115;80;48;11;12.7;5;0;0;1;5;1
441;117;80;44;13;10.5;10;0;0;1;3;1
443;84;60;43;6;12;10;1;0;1;5;1
444;160;114;67;15;14.5;10;0;0;1;3;1
445;93;61;43;6;14.5;7;0;0;1;2;2
446;130;77;47;11;11;7;1;0;1;5;2
447;100;70;44;8;15.5;7;0;0;0;1;1
448;135;78;44;11;12.7;10;1;0;1;5;2
451;155;75;46;10;12;5;1;0;1;8;3
452;120;76;45;10;13;10;1;0;1;5;2
453;105;60;35;8;11;5;1;1;1;8;2
454;75;53;35;7;11.5;5;1;1;0;6;1
457;115;85;52;10;12;10;1;0;1;5;1
458;78;57;37;6;13.5;10;1;0;1;6;1
461;106;70;43;10;12.7;10;1;0;0;5;2
462;93;66;39;8;14.5;15;1;0;1;2;1
463;112;79;45;8;11.5;2;1;1;1;6;1
464;93;64;45;7;13.5;7;0;0;1;1;1
465;120;74;45;10;13;15;1;0;1;5;2
466;92;60;41;6;14.5;7;1;0;0;2;2
467;220;81;46;13;9;7;1;0;1;4;3
470;83;61;38;6;13;10;0;0;0;5;1
472;105;64;45;6;13.5;7;1;0;1;1;2
473;120;57;43;6;8;5;1;1;0;1;3
474;88;64;46;7;17;15;1;0;0;2;1
475;115;76;40;11;12.7;10;1;0;1;5;2
476;140;70;45;10;9;10;1;0;1;3;3
477;149;94;57;8;10.5;15;0;1;1;3;2
478;120;75;43;10;17;10;1;0;1;2;2
480;105;73;49;8;11.5;5;1;0;0;6;1
481;189;86;55;10;9;10;1;1;1;3;3
482;86;61;42;6;12;7;0;1;1;5;1
483;126;80;40;14;12;10;0;0;1;7;2
484;85;59;40;6;10;5;0;0;1;6;1
485;140;82;47;11;12.5;10;1;1;0;2;2
486;104;84;52;11;13;5;0;0;1;5;1
487;108;66;45;10;12;5;1;0;1;7;2
488;84;60;45;6;13.5;7;0;0;1;6;1
489;90;55;35;6;14.5;5;0;0;1;3;2
490;87;61;43;6;12;15;1;0;1;7;1
491;115;71;42;10;12;5;1;0;0;8;2
493;120;80;47;9;13.5;10;0;0;1;6;2
494;98;74;44;10;12;15;1;0;0;7;1
495;152;81;54;8;7.5;12;1;1;1;3;3
496;105;82;48;8;13;10;0;0;1;5;1
497;158;78;48;12;9;4;1;1;1;4;3
498;87;58;33;5;11.5;5;1;0;1;6;2
499;150;108;56;15;11;5;1;1;1;5;1
500;109;79;45;13;14.5;5;0;1;1;3;1
501;158;64;44;9;7;3;1;0;1;4;3
502;160;86;51;8;12;2;1;1;1;7;3
503;80;56;37;6;10;1;1;0;0;6;1
504;115;66;38;7;11;7;1;1;1;8;2
505;260;70;45;8;8;7;1;1;0;1;3
506;90;56;40;5;12.5;5;1;1;1;3;2
507;132;76;43;8;12.5;5;1;0;1;2;2
508;84;59;46;6;10;15;1;0;1;6;1
509;112;63;35;8;11;7;1;0;1;8;2
510;120;77;43;8;10.5;10;0;0;1;3;2
511;115;76;45;10;12;15;0;0;1;7;2
513;125;77;46;10;10.5;15;1;0;1;7;2
514;103;67;43;9;13.5;10;0;0;1;1;2
516;129;59;41;6;9;5;1;1;0;3;3
517;80;52;34;6;17;10;1;0;0;4;2
519;130;72;42;9;12;5;1;0;1;1;3
521;190;106;58;24;9;5;0;0;1;4;3
522;132;84;52;11;12.7;20;1;0;1;5;2
523;170;80;45;13;12;10;1;0;1;8;3
524;118;78;52;9;11;5;1;1;1;5;2
525;78;63;47;6;13.5;5;0;1;1;6;1
526;77;56;38;6;13.5;10;0;1;0;1;1
527;77;50;34;6;13.5;2;1;0;1;6;2
528;105;75;45;10;14.5;10;0;0;1;3;1
529;150;76;45;10;12;5;1;0;1;1;3
530;143;75;45;9;10.5;7;1;0;1;3;3
531;350;113;85;20;9;10;1;0;1;3;3
532;110;70;40;9;13.5;5;1;0;0;6;2
533;159;107;64;13;14.5;10;0;1;1;3;2
534;135;75;46;10;7;12;0;0;1;4;3
535;89;60;43;6;15.5;5;1;1;1;1;2
537;89;55;37;6;10.5;10;1;1;1;3;2
538;115;64;44;7;12;5;0;0;1;7;3
539;110;77;40;11;12.7;15;1;0;1;5;1
540;84;59;44;6;12;10;1;0;1;5;1
541;130;78;46;10;14.5;7;1;0;1;2;2
542;87;90;57;13;14.5;15;1;1;1;2;1
543;79;60;44;6;15.5;15;1;0;0;1;1
545;95;67;41;9;13.5;7;0;0;1;6;1
546;98;64;42;7;14.5;5;0;0;1;3;2
547;83;64;42;9;17;10;0;0;0;2;1
550;124;77;44;10;14.5;5;0;0;1;2;2
551;107;65;39;8;12.5;20;1;0;1;2;2
552;180;83;53;8;12;5;1;1;1;7;3
553;110;76;45;10;13;10;1;0;1;5;1
554;157;75;53;10;12.5;5;1;0;1;2;3
556;95;64;45;6;12.5;10;1;0;1;2;2
557;371;120;59;15;7;10;0;0;1;4;3
558;145;73;45;7;9;1;1;1;1;4;3
561;118;84;48;9;12.7;5;0;0;1;5;1
562;86;58;38;8;11.5;7;1;0;1;6;2
563;157;80;48;9;7;5;0;0;1;4;3
566;140;80;51;7;7.5;7;1;1;1;8;2
567;85;55;42;6;14.5;5;1;1;1;3;2
568;78;58;37;6;12;10;0;0;1;7;1
569;185;80;53;9;7.5;10;1;1;1;8;3
571;164;90;52;13;10;3;1;1;1;6;3
573;99;63;38;8;10.5;5;1;0;0;3;2
574;125;75;52;9;10.5;5;0;1;1;3;2
575;85;60;43;6;12;5;1;0;1;5;1
576;225;92;48;13;9;1;1;1;1;4;3
577;85;61;45;6;13.5;15;1;0;1;6;1
578;112;77;45;10;17;10;0;0;1;2;1
579;135;83;53;9;13.5;10;0;0;1;1;2
580;235;101;59;15;8;7;1;1;1;1;3
581;147;76;46;10;12;3;1;0;1;8;3
583;105;75;46;10;13;7;0;0;0;5;1
584;105;69;43;6;17;5;1;0;1;4;2
586;110;75;52;9;11.5;10;1;1;0;6;1
589;99;62;39;8;17;10;1;0;1;2;2
591;98;74;46;11;12.5;10;0;1;0;3;1
592;135;72;46;8;10;5;1;0;1;6;3
593;140;78;46;9;10.5;10;1;1;1;7;3
594;205;88;59;9;9;10;1;1;0;3;3
596;150;86;53;9;11.5;1;1;0;1;6;2
598;285;90;57;7;3;3;1;0;1;1;3
600;135;80;45;13;12.5;5;0;0;1;3;2
601;95;54;38;6;10.5;5;1;0;1;7;2
603;105;72;43;10;12;10;1;0;1;5;1
604;105;65;39;8;12;5;0;0;1;7;2
606;125;67;46;8;12.5;15;1;0;1;3;3
607;95;65;45;7;14.5;12;1;0;1;2;1
610;143;93;57;9;10.5;5;0;1;1;3;2
611;165;77;44;10;8;10;1;0;1;1;3
613;96;60;38;6;12;5;0;0;1;7;2
615;105;74;45;10;13;10;1;0;0;5;1
616;81;53;34;6;13;15;1;0;0;5;2
617;87;58;37;7;13.5;15;0;0;1;1;2
618;177;103;54;11;9;5;1;0;1;3;2
619;119;80;51;8;11.5;15;1;0;1;6;2
620;120;81;48;8;13;7;1;0;1;5;2
622;85;59;38;6;13.5;10;1;0;1;6;1
623;140;74;45;10;12.5;2;1;0;1;2;3
624;90;60;43;6;13.5;5;0;0;0;6;2
625;455;192;92;18;7.5;5;1;0;1;3;3
626;194;105;58;11;9;5;1;0;1;3;3
627;170;65;45;7;7.5;2;1;1;1;3;3
628;100;57;40;6;8;5;1;0;1;1;2
631;130;83;48;9;12.7;5;1;0;1;5;2
632;185;66;44;6;9;3;1;1;0;3;3
634;360;103;80;14;3;3;1;1;1;1;3
635;99;63;43;9;13.5;7;0;0;1;1;2
636;120;60;37;8;12;8;0;0;1;1;3
639;113;76;46;10;13;7;1;0;1;5;2
640;107;67;41;9;12.5;10;1;0;1;2;2
642;110;86;53;9;10.5;5;0;0;0;3;1
643;170;100;57;10;13.5;15;0;0;0;6;2
644;100;77;41;10;12.7;10;1;0;1;5;1
645;90;61;45;6;13.5;15;1;0;1;6;2
646;108;75;50;10;12;3;1;0;1;5;1
647;105;83;48;9;13;15;1;0;1;5;1
649;80;60;44;6;13.5;5;1;0;1;6;1
650;130;75;48;13;12.7;5;0;0;1;5;2
651;170;53;33;9;3;10;1;1;1;1;3
653;104;72;46;11;12.5;10;0;1;0;3;1
654;105;68;46;8;15.5;10;1;0;0;1;2
658;114;75;54;7;12;7;1;1;1;7;2
662;106;83;44;10;12;10;0;0;1;7;1
663;105;77;54;8;10.5;12;1;0;0;7;1
664;107;68;46;8;10.5;10;0;0;1;3;2
666;94;65;40;8;14.5;15;1;0;1;2;1
667;105;78;44;10;13;15;1;0;1;5;1
668;240;105;55;23;10;5;1;0;1;6;3
669;150;97;63;11;10;7;1;0;1;6;2
670;87;63;42;7;13.5;7;1;0;1;6;1
672;105;66;44;7;13.5;10;1;0;1;6;2
673;150;76;45;10;7;10;0;0;1;4;3
674;95;60;44;6;12;10;1;0;0;8;2
675;82;59;45;6;10;7;1;1;0;6;1
676;210;94;59;11;12.7;2;1;1;1;5;3
677;150;85;61;8;12;7;1;1;1;8;2
678;179;77;43;10;8;10;1;0;1;1;3
679;75;55;36;6;14.5;7;0;1;0;2;1
681;120;76;51;9;13.5;5;1;0;1;6;2
682;100;79;51;10;13.5;10;0;0;1;6;1
683;158;78;49;14;9;4;1;1;1;4;3
684;155;74;43;10;9;5;0;0;1;4;3
685;139;68;46;8;9;5;1;0;1;4;3
686;140;78;45;10;12;2;1;0;1;7;3
687;115;76;54;9;13;5;1;0;0;5;2
688;94;64;43;9;12;7;1;0;1;5;1
690;340;125;70;18;7;10;0;1;1;4;3
691;100;78;44;9;13.5;20;0;0;1;1;1
692;77;60;44;6;13;15;1;0;0;5;1
693;102;74;43;10;17;12;0;0;1;2;1
695;108;58;41;6;9;3;1;1;1;4;3
696;134;83;44;10;13;10;1;0;0;5;2
697;103;76;45;10;13;5;0;0;1;5;1
698;135;82;48;9;10.5;10;0;0;0;3;2
700;78;52;34;6;13;15;1;0;1;5;2
701;113;78;44;10;12;10;1;1;0;5;1
705;130;80;38;11;12.7;10;1;0;1;5;2
706;117;77;44;10;17;3;1;0;0;2;2
707;135;75;46;10;11;10;1;0;1;5;3
708;120;80;45;13;12;10;1;0;1;5;2
711;230;92;60;14;9;10;1;0;0;3;3
712;76;53;39;6;12;10;1;0;1;5;1
713;108;78;46;10;12.7;10;1;0;1;5;1
714;140;74;53;8;11;5;1;1;1;8;3
715;110;60;41;6;12;10;1;0;1;8;3
716;90;60;43;6;12;5;0;0;1;7;2
717;136;78;48;9;12.5;15;1;0;1;2;2
719;120;65;44;8;9;5;1;0;1;4;3
720;93;63;40;8;11;12;1;0;1;5;2
721;260;110;56;15;12.5;3;1;1;1;2;3
